序号,景区ID,景区名称,评论
10,77593,黄鹤楼,太过于现代了，一点古老的气息都没有，七十块钱逛了一下公园，里面有演出40块钱半个小时，还算可以，相差得是古朴的元素，过于现代
11,77593,黄鹤楼,没好的旅程，看风景，看长江，看武汉长江大桥。&#x0A;品美食，逛户部巷，唯一缺点就是去的时候那里太热了。&#x0A;要是约三五好友一起就OK了。
12,77593,黄鹤楼,每个来武汉的人都必不可少的打卡地！原本对这种知名景点没有特别的兴趣，想着人满为患体验必然就打了折扣，但是不来的话总归还是觉得遗憾。来了之后真是不虚此行，虽然游客众多，但登顶后极目远眺时惬意非凡，除了黄鹤楼外，景区内还有很多值得慢慢品味的地方。
13,77593,黄鹤楼,雄伟秀丽，三大名楼之一。今人不见古时月，今曰曾经照古人，远眺长江，像当年的文人骚客一样，古人今人如流水，共看明月皆如此。
14,77593,黄鹤楼,昙华林是武昌的一条老街，如今是文青们闲逛、拍照的地方。这里有几十处百年老建筑，风格中西并存，多是当年的教堂、领事馆等。近年新增了不少有文艺范的小店，来这里逛逛小店、喝喝茶，自拍发个朋友圈，很惬意。
15,77593,黄鹤楼,很值得去一次，感受不一样的武汉情怀
16,77593,黄鹤楼,我早就听说三大名楼之首🏯黄鹤楼🏯的大名，既然来了武汉，又怎能不看看👀?黄鹤楼景区🌲绿荫环绕🌲，曲径通幽，让人🐾心旷神怡🐾，豁然开朗。遗憾的是，我这次来，行程匆忙，没有登黄鹤楼远眺长江，着实有点遗憾，等将来再有机会，一定重游🏯黄鹤楼🏯。
17,77593,黄鹤楼,黄鹤楼名声还是很大的，在武汉也是很有历史的地方，与晴川阁和古琴台并称武汉三大景。旁边又是著名的武汉长江大桥，我觉得这里还是值得一游的。
18,77593,黄鹤楼,自古有“天下绝景”之美誉，与晴川阁、古琴台并称为“武汉三大名胜”，与湖南岳阳岳阳楼、江西南昌滕王阁并称为“江南三大名楼”，是“武汉十大景”之首、中国古代四大名楼之一、“中国十大历史文化名楼”之一，世称&quot;天下江山第一楼&quot;。
19,77593,黄鹤楼,黄鹤楼&#x20;&#x20;江南三大名楼之一&#x20;&#x20;一年前的江南三大名楼出行&#x20;&#x20;岳阳楼-滕王阁-黄鹤楼的最后一站。参观完辛亥革命博物馆-首义广场-鄂军都督府后从东大门进&#x20;&#x20;西门出&#x20;&#x20;然后户部巷-长江大桥黄鹤楼旧址-陈友谅墓&#x20;都很近&#x20;是武汉一日游的经典路线了
20,77593,黄鹤楼,好多攻略说不要去黄鹤楼，远观就可以了。一度我也这样认为，但是还是进去了，很不错，整个景区是个大公园，环境很好，还有演出，不过有个演出要额外收费，能直观感受到千年前相同规格的乐器出来的音乐，还是不错的，有个演出唱的楚辞里的歌也不错，但是跳舞的演员不够专业，演出服也不够华丽。
21,77593,黄鹤楼,黄鹤楼，位于湖北省武汉市武昌区，地处蛇山之巅，濒临万里长江，为武汉市地标建筑；始建于三国吴黄武二年（223年），历代屡加重修，现存建筑以清代“同治楼”为原型设计，重建于1985年；因唐代诗人崔颢登楼所题《黄鹤楼》一诗而名扬四海。自古有“天下绝景”之美誉，与晴川阁、古琴台并称为“武汉三大名胜”，与湖南岳阳岳阳楼、江西南昌滕王阁并称为“江南三大名楼”，是“武汉十大景”之首、中国古代四大名楼之一、“中国十大历史文化名楼”之一，世称&quot;天下江山第一楼
22,77593,黄鹤楼,武汉打卡圣地，去一次就可以，风景优美，可以看到长江大桥，欣赏两岸风光。
23,77593,黄鹤楼,我们都一致认为很棒，体验感非常不错，大家一定要来亲自体验一下！
24,77593,黄鹤楼,【黄鹤楼】&#x0A;&#x0A;湖北黄鹤楼、湖南的岳阳楼、江西滕王阁并称为江南三大名楼，再加上山西鹳雀楼就是中国四大名楼。其最早的历史可以追溯到三国时代，屡废屡建，我们眼前所见的是以清代同治楼为蓝本1985年重建的。黄鹤楼楼高五层，总高度51.4米，建筑面积3219平方米，黄鹤楼内部有72根圆柱支撑，外部有60个翘角向外伸展，屋面用10万多块黄色琉璃瓦覆盖构建而成，历代文人墨客在此留下了许多千古绝唱：故人西辞黄鹤楼，烟花三月下扬州”&#x0A;&#x0A;👉交通：乘坐电车1路&#x2F;电车4路&#x2F;10&#x2F;61&#x2F;64&#x2F;108&#x2F;401&#x2F;402&#x2F;411&#x2F;413&#x2F;584路至黄鹤楼站，即可到达&#x0A;👉门票：70&#x0A;👉时间：8:30—17:00&#x0A;&#x0A;演出时间&#x0A;周二到周日每天两场，周一休演&#x0A;第一场:19:30-21:00主楼秀20:30&#x0A;第二场:20:30-22:00，主楼秀21:30&#x0A;&#x0A;门票&#x0A;成人票118元&#x2F;位，外地游客98元&#x2F;位
25,77593,黄鹤楼,黄鹤楼不愧是天下名楼～气势美景皆是上品。每一层都有不同的室内装饰，还有有关黄鹤楼的历史介绍以及历代名人书写的有关黄鹤楼的诗句。站在楼里远眺，武汉的江景和远处的高楼构成一副现代都市画卷。有风拂面，非常凉爽～
26,77593,黄鹤楼,文艺和文学性很足，风景很好，很多名家字画展览，结合中外有关黄鹤楼的名人和诗词，以及历史故事，景区规划也很完整，有完整的旅游线路可以参考，门口有说明小册子，只是我本人比较喜欢闲逛。
27,77593,黄鹤楼,故人西辞黄鹤楼，烟花三月下扬州。孤帆远影碧空尽，唯见长江天际流。相信大家对这首诗已经耳熟能详，黄鹤楼作为四大名楼之一确实有他的独到之处
28,77593,黄鹤楼,整个景区面积不大，游玩大概需要2个小时就差不多玩了一遍。里面吃的有点贵。其他的都可以。每一层都要边爬边看，每层的风景都感觉不同，层数越高，武汉全景就越好。还能看到长江大桥！
29,77593,黄鹤楼,黄鹤楼名符其实，就是节假日人超级多，建议住在附近大早去，人稍微少点。第一天十点去，直接排队半小时还是进不去。第二天大早去，人少些，很快进去了，但人流在十点就人挨人走不动了。
30,77593,黄鹤楼,武汉一行，首登黄鹤楼。景区很大且景色优美，登上楼顶，俯视武昌区，长江最窄口映入眼帘。周围坐车也很方便，黄鹤楼周边是拍照取景最好的地方，紫薇苑适合小憩。
31,77593,黄鹤楼,黄鹤楼非常美的景色非常美，值得去看看。对于我而言，我更喜欢的事夜晚常见大桥直通黄鹤楼的那一段路，行驶在夜色中，看着眼前金灿灿的黄鹤楼，我心生敬意。
32,77593,黄鹤楼,挺好看的，就是时间为半个小时，五场表演没看够，不过就40块钱，支持支持我们中华民族自己的文化，需要传承无发扬的中华文明。
33,77593,黄鹤楼,从西门进去的，然后从另外一个出口出去的，阴天参观的，有雾霾，能见度不是特别好，现在黄鹤楼上可以看到武汉的市景和远眺长江。
34,77593,黄鹤楼,🏃🏻‍♂️登天下江山第一楼，赏黄鹤楼天下绝景👀&#x0A;&#x0A;🦢“昔人已乘黄鹤去，此地空余黄鹤楼”&#x0A;📜自古以来，多少文人墨客登黄鹤楼，纷纷留下千古流传的诗词歌句。在黄鹤楼下面，长长的诗词走廊也装不完他们的离情别绪。&#x0A;&#x0A;💎黄鹤楼作为江南三大名楼之一，武汉的城市地标，坐落在蛇山之上，长江之畔，与长江大桥交相辉映🌉。自古以来都是官商行旅“游必于是”、“宴必于是”的观赏楼，唐代诗人崔颢的一首《黄鹤楼》更是将其声望推至顶峰，游人络绎不绝。&#x0A;&#x0A;🏯天下江山第一楼&#x0A;🔸黄鹤楼于1985年重修完整，整个建筑风格以清同治楼为蓝本，融合了北雄南秀诸楼的建筑特色，楼高五层，楼外立着铜铸的黄鹤造型，在周边辅助建筑&#x20;胜像宝塔、牌坊、轩廊、亭阁的衬托下，显得这座独具民族风格的千古名楼更加恢宏壮丽。&#x0A;&#x0A;👁天下绝景迷人眼&#x0A;🔸登上黄鹤楼的顶层，极目远眺，武汉三镇和长江风光尽收眼底。看着楼下络绎不绝的游人，长江大桥川流不息的车辆，长江来来往往的船只，不禁之中，黄鹤楼下的牌坊“江山入画”四个字果真是恰到好处！&#x0A;&#x0A;😍美景美诗惹人醉&#x0A;🔸黄鹤楼的迷人之处，在于宏伟壮观的外形建筑，在于一览无遗的绝美风光，更在于吟诵千古绝唱而感同身受的登楼情怀。&#x0A;▫️楼中有诗，诗中有楼。&#x0A;▫️鹤去楼空，诗留人间。&#x0A;▫️楼诗相映，千古流传。&#x0A;🔸游览其中，感受中华文化的博大精深，感受丰富浓厚的文化底蕴，慢慢地对黄鹤楼产生浓烈的喜爱之情……
35,77593,黄鹤楼,晴川历历汉阳树&#x20;芳草萋萋鹦鹉洲&#x0A;虽然已经没有了往日婆娑的树影，但是一步步登上黄鹤楼还是能感受到人们对美好生活的向往，对黄鹤的崇拜🤩酸奶黄桃冰淇淋🍦也很好吃呢
36,77593,黄鹤楼,本来以为去了会让我很失望，但是去了以后才发现真的还可以，每一层都是一个视角，每一层都是一个风景，真的值得去看看，不过不建议多去，比较游玩的地方就那么多
37,77593,黄鹤楼,挺壮观的黄鹤楼，值得一看！
38,77593,黄鹤楼,昔人已乘黄鹤去，&#x0A;此地空余黄鹤楼。&#x0A;黄鹤一去不复返，&#x0A;白云千载空悠悠。&#x0A;&#x0A;故人西辞黄鹤楼，烟花三月下扬州。&#x0A;孤帆远影碧空尽，唯见长江天际流
39,77593,黄鹤楼,虽然住在武汉离上次到黄鹤楼已经35年了，每次走过武汉长江大桥都可以看到黄鹤楼，去年11月再次游玩感觉很新鲜，里面越来越漂亮了！
40,77593,黄鹤楼,黄鹤楼历史悠久，多位名人曾到此一游，向往久矣，如今来游，终得如愿，楼建得非常漂亮，本人学建筑的，因此惊叹我国建筑艺术的伟大，总之，非常值得一游
41,77593,黄鹤楼,完全是奔着名声去的，其实景点并不怎么样，只是这份期待的心情，值得一去。&#x0A;黄鹤楼出现在古诗文的次数太多，所以，全是向往和想象。
42,77593,黄鹤楼,众所周知的“武汉必游景点”黄鹤楼，主体是1980年代重新修造的钢筋水泥建筑。在1880年代到1980年代的百年间，武汉并不存在一座“黄鹤楼”建筑。而在此之前存在于此地，为纪念张之洞而修造的奥略楼，以及其原址上兴建的近代建筑【警钟楼】，在很大程度上起到了替代作用，并在那个年代的游人自欺欺人的张冠李戴成了黄鹤楼的等价品。只不过这段历史，即便是“老武汉”也不大清爽了。
43,77593,黄鹤楼,黄鹤楼是一个很有文化底蕴的景点，也被誉为文人的聚集地，从小学课文就学到了，经过了这么多年终于可算见到了，感觉很不错，是个比较有意义的景点。
44,77593,黄鹤楼,还不错，挺好的，登高望远，下次还回来再来一个人来一波一族必备神器！你也可以好好👍……这些东西是因为我们自己都知道是一场比赛都不够了！
45,77593,黄鹤楼,VIP福利还是挺不错的，第一场有专门区域，上***可以使用电梯，最重要的灯光秀也是第一排位置，还***点心和饮料。灯光秀还是很震撼的，有故事情节，值得一看，整个景区晚上都很美，灯光设计的不错。
46,77593,黄鹤楼,黄鹤楼是非常值得去打卡的景点，在武汉市中心区域。离武汉长江大桥很近。如果节假日自驾去要注意人多车的。车位不好找。值得推荐给大家。
47,77593,黄鹤楼,黄鹤楼新址所在的位置非常有趣，边上就是京广线要道，前方是长江大桥，远眺城市大观的好去处，楼里面也不会过于嘈杂。模型那层还不错。
48,77593,黄鹤楼,值得看。遗憾的是重建的。每次来武汉，都登楼。携程买票，刷身份证进景区。方便。黄鹤楼离户部巷农讲所五大纪念馆豆很近。半天能看遍。
49,77593,黄鹤楼,到武汉必须打卡黄鹤楼，历史明楼，江南风格，见证了武汉这座城市的变迁，记录很多心酸故事，当然宵夜街的美食也是同样不容错过的。
50,77593,黄鹤楼,去武汉黄鹤楼是必游景点，登上黄鹤楼可以看到武汉的全景，很是漂亮。我们是白天登上黄鹤楼的，如果晚上去看夜景应该还要漂亮，没有看到夜景有点遗憾……
51,77593,黄鹤楼,来南京的话，你一定去过夫子庙和中山陵。但是有没有去过美龄宫呢？这是南京一个非常好的去处，美龄官是全世界最浪漫的宝石颈链，是由***先生送给宋美龄的…&#x20;&#x20;冇人能及！美龄工地方不太大，大概预两个小时左右，逛完不会太累。参观完后更可以在美龄宫的2楼学一杯咖啡和一个甜品，非常的写意。推荐！👍👍
52,77593,黄鹤楼,原址新建的景点，黄鹤楼完全是新建，钢筋混凝土结构，登高看看长江大桥，其他没没有什么历史遗留的景观。深秋的树叶，虽然是阴天，仍然色彩缤纷。长江大桥的铁路桥估计不太用了，一直没有看到穿行的火车。可能从其他角度看黄鹤楼，会更美。武汉的三天两晚游玩碰上阴雨天，没有阳光，有点雾霾，长江显得比较严肃。
53,77593,黄鹤楼,每个人在他的人生发轫之初，总有一段时光，没有什么可留恋，只有抑制不住的梦想，没有什么可凭仗，只有他的好身体，没有地方可去，只想到处流浪4.人生就像一场旅行，不必在乎目的地，在乎的是沿途的风景以及看风景的心情，让心灵去旅行
54,77593,黄鹤楼,昔人已乘黄鹤去，此地空馀黄鹤楼。黄鹤一去不复返，白云千载空悠悠……诗人崔颢的诗句流传千古。不登黄鹤楼，等于没有来过武汉！
55,77593,黄鹤楼,第一次入住，朋友给我推荐的这家酒店，酒店在汉阳周边吃的，玩的都有，房间也很干净，我办理入住的时候，前台小姐姐还送了我一瓶冰的矿泉水。浴室和厕所都是分开的，马桶还有一次性的马桶垫，准备的很贴心。房间还可以投屏看电影。窗户的隔音效果非常好，也不靠近马路，睡觉很安静。总之一切很满意，强烈推荐，有机会还会过来入住。
56,77593,黄鹤楼,故人西辞黄鹤楼，烟花三月下扬州&#x0A;&#x0A;到武汉，首先想到的景点一定是黄鹤楼。&#x0A;有“天下江山第一楼”之誉的黄鹤楼，古来便庶众云集、文士雅会，古今骚客在此对景兴怀，或体味清风明月，叹江山永在、人生易老之慨。&#x0A;&#x0A;黄鹤楼整个建筑具有独特的民族风格，与蛇山脚下的武汉长江大桥交相辉映；登楼远眺，武汉三镇的风光尽收眼底。到了黄鹤楼，有真正来到武汉的真实感。&#x0A;&#x0A;南门&#x20;→鹅池→落梅轩→紫薇苑→岳飞铜像→白云阁→千禧钟→宝铜顶→黄鹤楼
57,77593,黄鹤楼,故人西辞黄鹤楼，烟花三月下扬州。孤帆远影碧空尽，唯见长江天际流。从扬州到武汉，在这座英雄的城市，我感受到人们安居乐业，热情好客，没有被疫情打倒，这就是伟大的中国人民。在黄鹤楼，我看到了历史，看到了明天，我更看到了祖国的万水千山总是情！
58,77593,黄鹤楼,哈哈这个楼还没我的年龄大，我说的是现在的楼，钢筋混凝土的不怕火，不知道当时建的时候设计的使用年限是多久，外环五层，里面九层，说的是九五至尊，三大明楼之首，清朝的楼没有这么高，因为是木质结构，被火，烧光了就留下了一个铜鼎，现在就放在黄鹤楼的旁边，从东门进来，首先要经过通鼎，然后才到黄鹤楼，直接上图吧，自己看
59,77593,黄鹤楼,惠游湖北，免费爬楼，带着6岁的小朋友玩了5个小时吧，最喜欢的并不是爬楼，而是下面的小瀑布，紫薇苑，还有岳飞广场，另外今天还看到了非常有趣的漫画展。&#x0A;&#x0A;以前都是两个小时爬完楼就回家，所以觉得不好玩，今天认真的游览了一遍，发现池塘里的鱼有好多颜色，很漂亮;紫竹院的诗词走廊，虽然并不是都认识，但是小朋友也非常兴奋;去到蔷薇苑，解锁了蔷薇树原来还有个名字叫痒痒树，笑的合不拢嘴;来到小瀑布，看到分流后的小沟渠，放几片树叶，观察水流也很有趣呢，最后去了岳飞广场，看到超大的岳飞铜像，又听了岳飞的故事，非常的崇拜～&#x0A;&#x0A;愉快的一天，虽然很累，回程的时候，在公交车上就睡着了，但是仍然很开心，很值得～&#x0A;【景色】秋天的景色不错，路上都有高高大大的树木遮阴，一点都不热。
60,77593,黄鹤楼,今天风和日丽，晴空万里，又些许微风，适合出去玩，我和我爸很早就抢到了票，超级开心，立刻开车去了黄鹤楼，人超级多，但是还是玩的很开心，工作人员服务态度好，亲切和蔼可亲。我和我爸按照游览图游览了大好景色，太开心了，湖北省实在是大气，为百姓们找想，为百姓谋福利，太感谢啦！节约了160块钱，爱我大武汉，在黄鹤楼上，看着武汉三镇，还有长江大桥，觉得武汉好美啊！因为疫情好久没有出门了，感谢有这次机会，可以让我们见识武汉的美，长江的澎湃汹涌。然后和家人团聚机会也少，乘着这次机会，可以让我和爸爸的感情在旅游中增进，感谢！也希望大家都可以到武汉来玩～武汉真的蛮好玩的，人好，景美，小吃多。爱我大武汉。欢迎大家来玩～
61,77593,黄鹤楼,必须要去的标准性地方。了解历史，壮观。
62,77593,黄鹤楼,【景色】故人西辞黄鹤楼，烟花三月下扬州
63,77593,黄鹤楼,原址新建的景点，黄鹤楼完全是新建，钢筋混凝土结构，登高看看长江大桥，其他没没有什么历史遗留的景观。深秋的树叶，虽然是阴天，仍然色彩缤纷。长江大桥的铁路桥估计不太用了，一直没有看到穿行的火车。
64,77593,黄鹤楼,性比价不高，但是总要上去看看
65,77593,黄鹤楼,对面就是市政府公园里景色优美，尤其有一个文化长廊，边走边看，增强增加了对贵阳乃至贵州省的了解，为贵州的发展点赞。沿着公园的步道欣赏湖光，山色很是休闲
66,77593,黄鹤楼,每次去武汉总是要去黃鹤楼玩一下的，这次去武汉由于时间的原因，没有能在白天去黄鹤楼，在夜里玩了户部巷回去的路上，偶遇了黄鹤楼夜景灯光秀，还是不错的。
67,77593,黄鹤楼,有点冷，冷，冷。景点不错，就是可以走动的地方比较少。门票偏贵
68,77593,黄鹤楼,几次路过无暇顾及，今日有空携子登楼，小兄弟非常开心，无惧炎热四处突奔，跨江遍览唐诗美景。☀当空，小兄弟甚至想上大桥走一趟。&#x0A;好吧，年轻人！我佩服你精力旺盛。&#x0A;而我，透过烟云莽苍回望25年前的汉口，有个刚出校门的青年，每天从万松园出发，踩着自行车踏遍常青树吴家山古琴台到红钢城的路，卷起裤管光脚趟过漫腿的江水……
69,77593,黄鹤楼,自己一个人去的，公园还是很大的，游玩了一个下午，还可以去隔壁的首义纪念公园去走走，很不错。公园维护的不是很好，和免费有关系吧！黄鹤楼千古名楼，太有名了。帝王天子文人骚客络绎不绝！
70,77593,黄鹤楼,黄鹤楼挺不错的，最好坐坐那个旅游观光车，因为着实有点大，毕竟小的景区也多啊，走的话会很累。值得去，就是去的话最好自备零食和水，景区的很贵！
71,77593,黄鹤楼,疫情之后好好的看看武汉，大美黄鹤楼。咖啡很香，做的很用心。处处有温暖。登高望远，也不会很累，适合全家出行。老人慢慢走也不累，小朋友也可以登高看看美丽的大武汉
72,77593,黄鹤楼,第一名楼，当然值得去！只是内里的文化呈现还不够丰富，有很大的提升空间。在表现形式上也多考虑一些互动体验。武汉政府给每位游客送了一瓶黄鹤楼酒，礼不大，但触动了彼此的感恩之心。
73,77593,黄鹤楼,故人西辞黄鹤楼，烟花三月下扬州！终于打卡教材课本上的黄鹤楼了～登上黄鹤楼远眺武汉长江大桥！
74,77593,黄鹤楼,还是非常值得去的，看到初建于2000多年前的雄伟建筑不得不感叹中华民族的伟大。如果是第一次来武汉的话非常推荐，大家去看这个景点。
75,77593,黄鹤楼,武汉打卡必去的地方，宏伟壮观，俯瞰武汉美景！长江之水天际流啊！颇有古代诗人当时的情景，长江孕育了多少百姓，黄鹤楼上会有很多感慨！
76,77593,黄鹤楼,最热的一天去的，但是楼上却很凉快，很不错&#x0A;知道了黄鹤楼的历史，原来重建过那么多次，最早竟然只是个哨所！&#x0A;后来发展成景色优美的黄鹤楼！
77,77593,黄鹤楼,昔人已乘黄鹤去，此地空余黄鹤楼。景区面积不小，黄鹤楼上风景不错，其后山风景更棒。无数文人墨客在这里留下笔墨，果然名不虚传。
78,77593,黄鹤楼,关于黄鹤楼的得名，有“因山”、“因仙”两种说法。&#x0A;&#x0A;因仙说：分两种。一说是曾有仙人驾鹤经此，遂因此得名。一说是曾有道士在此地辛氏酒楼的墙上画了一只会跳舞的黄鹤，店家生意因此大为兴隆；十年后道士重来，用笛声招下黄鹤，乘鹤飞去，辛氏遂出资建楼，称黄鹤楼。
79,77593,黄鹤楼,位于湖北省武汉市武昌区，地处蛇山之巅，濒临万里长江，为武汉市地标建筑；非常好&#x20;值得去。历代屡加重修，现存建筑以清代“同治楼”为原型设计，重建于1985年；因唐代诗人崔颢登楼所题《黄鹤楼》一诗而名扬四海。
80,77593,黄鹤楼,黄鹤楼还是很值得一观的，白天可以俯瞰整个武汉，晚上可以看长江夜景和沉浸式光影秀！
81,77593,黄鹤楼,黄鹤楼，八十年代重建，全国各地很多游客慕名而来，#打卡#天下第一楼武汉黄鹤楼&#x0A;&#x0A;亲近黄鹤楼下，千年建筑的雄伟令人着迷，保存的完好更令人惊叹。&#x0A;周末人山人海，排队登楼队伍绵延一公里，也是奇观，也罢，楼是用来拍照的，不是用来上的[偷笑]公园还有十几亭台楼阁，园林景观，漫山红花，而阳光正好。&#x0A;武汉这座曾经让国人牵肠挂肚的城市，渐渐在恢复往日的热闹，发挥作为经济枢纽城市的作用，是个挺值得高兴的事儿～
82,77593,黄鹤楼,黄鹤楼，位于湖北省武汉市武昌区，地处蛇山之巅，濒临万里长江，为武汉市地标建筑；始建于三国吴黄武二年（223年），历代屡加重修，现存建筑以清代“同治楼”为原型设计，重建于1985年；因唐代诗人崔颢登楼所题《黄鹤楼》一诗而名扬四海。自古有“天下绝景”之美誉，与晴川阁、古琴台并称为“武汉三大名胜”，与湖南岳阳岳阳楼、江西南昌滕王阁并称为“江南三大名楼”，是“武汉十大景”之首、中国古代四大名楼之一、“中国十大历史文化名楼”之一，世称&quot;天下江山第一楼&quot;。
83,77593,黄鹤楼,得益于先天的地理位置优势，如今的武汉不仅是中部地区最大的城市，也是楚文化的重要发源地。虽然在历史上没能成为政权中心，但在其它方面却也因为位置而有所收获。这座有着深厚底蕴的历史文化古城，如今的发展有目共睹。
84,77593,黄鹤楼,来武汉不去黄鹤楼总感觉可惜。顶着烈日带着家人来打卡，之前去过的没有什么新鲜感，带着家人来玩感觉也挺好的，登上了黄鹤楼一览无余的感觉太好了，下了黄鹤楼就是户部巷小吃街，逛完小吃街坐船过江感觉太好了。经济实惠值得打卡
85,77593,黄鹤楼,读万卷书不如行千里路，对孩子开说背古诗词更容易理解体会，对成人来说～登古楼可能和我们等电视塔、排名前几位的高建筑物一样吧！感受它千年的历史文化沿革……&#x0A;看过携程里的行走攻略，其实公园没多大，设施很齐备，有电瓶车。带着孩子停停走走游游逛逛2小时就游完啦，成人1个半小时足够用啦！认真拍照不在此列😛&#x0A;有西南东三个出入口，西门出来继续前行就是武汉长江大桥，步行十几分钟，封闭路段没有出租车、公交车可代步。
86,77593,黄鹤楼,黄鹤楼主楼为四边套八边形体、钢筋混凝土框架仿木结构，通高51.4米，底层边宽30米，顶层边宽18米，飞檐五层，攒尖楼顶，顶覆金色琉璃瓦，由72根圆柱支撑，楼上有60个翘角向外伸展；楼外有铸铜黄鹤造型、胜像宝塔、牌坊、轩廊、亭阁等建筑环绕，整楼形如黄鹤，展翅欲飞，檐下四面悬挂匾额，正面悬书法家舒同题“黄鹤楼”三字金匾。
87,77593,黄鹤楼,从云谷寺方向上的，六个小时暴爬了一圈西海大峡谷再到玉屏，到酒店的时候基本快累晕了。前台经理非常热情体贴，准备了姜汤等，然后给我们发送了天气预报以及日落日出时间。酒店设施也很不错，2楼外面有个观景平台，非常适合拍照。酒店一出门就是迎客松，离日出景点也很近，五分钟距离。往下走两百米就是玉屏缆车站下山。总之非常推荐住这玉屏楼
88,77593,黄鹤楼,非常好，值得预约。风景优美，空气清新，黄鹤楼在三国时期是军事楼，后演变成为观赏楼，历代文人墨客在此留下了许多千古绝唱如《黄鹤楼》《黄鹤楼送孟浩然之广陵》等，使得黄鹤楼自古以来闻名遐迩。&#x0A;黄鹤楼（Yellow&#x20;Crane&#x20;Tower）是中国5A级旅游景区，江南三大名楼之一，位于湖北省武汉市长江南岸的武昌蛇山之巅，建于三国时代吴黄武二年。
89,77593,黄鹤楼,黄鹤楼，名胜古迹，来湖北，不虚此行！欢迎大家一起来旅游，饱览美景，了解历史！
90,77593,黄鹤楼,来武汉上学才去了次黄鹤楼，看到那一直存在于诗中的黄鹤楼，登楼看长江，感慨！
91,77593,黄鹤楼,曾经陪家人去过一次黄鹤楼，我在武汉呆过很多年，这是唯一一次去过&#x20;，名声比较大
92,77593,黄鹤楼,武汉必打卡景点。比小时候去的时候修得好了很多，但人实在太多了，即便是淡季。
